"time","MCF-LW12CO2.mean_humidity","MCF-LW12CO2.mean_temperature"
"2021-11-26T02:40:00.000+01:00","23.5","21.99"
"2021-11-26T03:08:00.000+01:00","23.5","21.96"
"2021-11-26T03:36:00.000+01:00","23.5","21.94"
"2021-11-26T04:04:00.000+01:00","23.25","21.94"
"2021-11-26T04:32:00.000+01:00",,
"2021-11-26T05:00:00.000+01:00","23","21.93"
"2021-11-26T05:28:00.000+01:00","23","21.94"
"2021-11-26T05:56:00.000+01:00","22.5","21.95"
"2021-11-26T06:24:00.000+01:00","22.5","21.94"
"2021-11-26T06:52:00.000+01:00","22.5","21.95"
"2021-11-26T07:20:00.000+01:00","21","21.88"
"2021-11-26T07:48:00.000+01:00","21","21.81"
"2021-11-26T08:16:00.000+01:00","20.5","21.75"
"2021-11-26T08:44:00.000+01:00","20.5","21.78"
"2021-11-26T09:12:00.000+01:00","20.5","21.79"
"2021-11-26T09:40:00.000+01:00","20.5","21.85"
"2021-11-26T10:08:00.000+01:00","20.5","21.91"
"2021-11-26T10:36:00.000+01:00",,
"2021-11-26T11:04:00.000+01:00","20.5","21.96"
"2021-11-26T11:32:00.000+01:00","20.5","22"
"2021-11-26T12:00:00.000+01:00","20.5","21.95"
"2021-11-26T12:28:00.000+01:00","20.5","21.92"
"2021-11-26T12:56:00.000+01:00","20","21.87"
"2021-11-26T13:24:00.000+01:00","20.5","21.88"
"2021-11-26T13:52:00.000+01:00","20.5","21.84"
"2021-11-26T14:20:00.000+01:00","20.5","21.89"
"2021-11-26T14:48:00.000+01:00","20","21.92"
"2021-11-26T15:16:00.000+01:00","20","21.95"
